Ability,ID,UnitName,Description,Type,School,Categories,Mechanic,Condition,SpellTier,SourceTier,SourceLevel,IsVBlood,BaseCooldown,BaseCastTime,Magic,Unarmed,Sword,GreatSword,Axe,Mace,DualHammers,Spear,Daggers,Crossbow,Longbow,Pistols,Reaper,Whip,Claws,Pollaxe,Slashers,TwinBlades,Wolf,Bear,Rat,Spider,Toad,Werewolf,Gargoyle,Mounted,Enabled,Cooldown,Range,Charges,ChargeTime,AoE,ProjSpeed,LeapHeight,Duration,Healing,DamageScale,CooldownScale,ForceTimeout,PowerWindow,SummonCap,SummonTimeout,SummonUnits,CastSpeed,FreelyMove,InterruptOnHit,TransformOnly,Crash/Issue,Notes
Rat,1484354243,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,Other,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,-1801222341,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",Melee,,Other,Melee,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,-2018732849,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,Other,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat Form,784029872,,Turn into a small rat and blend into the environment making it harder for enemies to detect you. Taking damage breaks the effect.,Movement,Shapeshift,Shapeshift,Movement,,,,,,10,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat Hole,-1428855842,,,,,Other,,SelfCast,,,,,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recall & Revive Companion,1479612756,,Recall your companion teleporting it to your location. This action also revives and heals your companion if it has perished.,Heal,,Other,Heal,SelfCast,,,,,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Companion,1856432305,,"Press and Hold to release your companion, permanently vanquishing it from existence. This action cannot be undone.",,,Other,,,,,,,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Target,826190081,,Press and Hold to release any target under your control killing it.,,,Other,,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Target,636244244,,Press and Hold to release any target under your control killing it.,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repair,109530037,,,,,Other,,,,,,,0.05,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requires Ancestral Blood Essence,-576906626,,,,Blood,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Vardoran,-1190925292,,,Movement,,Other,Movement,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Vardoran,-646168524,,,Movement,,Other,Movement,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring Bell,1104157543,,,,,Other,,,,,,,3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roar,-840954076,,"Roar like a bear, like a vampire bear",Buff,,Other,Buff,,,,,,4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roar,-223453383,,Apply a shield to nearby allies shielding them for {shield} of your spell power. Lasts for {duration}s.,Defensive,Blood,Blood; Defensive,Buff,CloseRange,,,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Elemental Awake,-2050883182,,,,,,,,,,,,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salute,-370061286,,Show your respect with a formal gesture.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Sanguine Coil,189403977,,"Launch a projectile that deals {damage} magic damage, drains {leech} health and inflicts Leech. Heals ally hit for {spellpower} and self for {selfhealing} of your spell power.",Offensive,Blood,Blood; Offensive,Heal; Projectile,Aimed,Tier2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Serpent Acid Puke,1239155316,,,AoE,,Other,AoE; Projectile,Aimed,,,,,10,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servant Inventory,-1509344340,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Leap,436038744,,"Turn into a shadow, leap and gain a burst of speed. Can be used to leap through most types of solid objects.",Movement,,Other,Movement,Movement,,,,,8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Leap,-20922272,,"Turn into a shadow, leap and gain a burst of speed. Can be used to leap through most types of solid objects.",Movement,,Other,Movement,Movement,,,,,8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Leap,445289088,,"Turn into a shadow, leap and gain a burst of speed. Can be used to leap through most types of solid objects.",Movement,,Other,Movement,Movement,,,,,8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Meld,-1079667900,,,Heal,,Other,Heal,,,,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadowbolt,-880131926,,Launch a projectile that deals {damage} magic damage and inflicts Leech.,Offensive,Blood,Blood; Offensive,Heal; Projectile,Aimed,Tier1,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shapeshift Bear Dash,1873182450,,,Movement,,Other,Movement,CloseRange,,,,,10,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shapeshift Wolf Bite,-1262842180,,,Melee,,Other,Melee,CloseRange,,,,,0.6,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shapeshift Wolf Blackfang Skin03,430979240,,,Projectile,,Projectile,Projectile,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shapeshift Wolf Leap Travel Blackfang,833416928,,"Turn into a spectral wolf, leap and gain a short burst of speed. Can be used to leap through most types of solid objects.",Movement,,Movement,Movement,Movement,,,,,8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shockwave,1335008684,,"Send forth a shockwave dealing %130 physical damage and launching the enemy hit into the air for 0.6s. Recast the ability to teleport to the target striking it three times, each strike deals %20 physical damage.",Secondary,,Other,Movement; Projectile,Aimed,,,,,8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shockwave,993583640,,"Send forth a shockwave dealing %130 physical damage and launching the enemy hit into the air for 0.6s. Recast the ability to teleport to the target striking it three times, each strike deals %20 physical damage.",Movement,,Other,Movement,,,,,,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shriek,-1951127647,,Summon ghosts at target location that deals {damage} magic damage and inflict panic on all enemies hit that last for {duration}s.,,,Other,,CloseRange,,,,,12,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrug,-578764388,,Express vampiric apathy.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Siege Golem,-1193297071,,Place the Sulphur Siege Stone in an uncontested location. It takes {duration}s for the stone to activate. When activated you can interact with it to gain Siege Power for up to {buffduration}s allowing you to break into wooden structures. During the summoning period the Siege Stone is visible to all on the map and can be destroyed.,Projectile,,Other,Projectile,SelfCast,,,,,1.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Resistance Brew,1062857775,,A brew that increases silver resistance rating by {value} for {duration} minutes. Effect persist through death.,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sit,-91023537,,,,,Other,,SelfCast,,,,,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sit,935984304,,,,,Other,,SelfCast,,,,,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sit,-1712538598,,,,,Other,,SelfCast,,,,,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sit,1651864139,,,,,Other,,SelfCast,,,,,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slam,-1303418171,,Perform a mighty fist slam dealing {damage} siege damage and inflicting a {duration}s stun. Can be used to break walls & structures.,AoE,,Other,AoE,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slave Master Scatter Shot,-366103191,,,,,Other,,CloseRange,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sludge-filled Canister,-2027014613,,A canister filled with toxic sludge. Not recommended to drink.,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sludge-filled Canister,-1156226621,,A canister filled with toxic sludge. Not recommended to drink.,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smack,1121958763,,"Smack enemies in front of you dealing %50 physical damage, knocking them back and incapacitating them for 1.2s.",Secondary,,Other,,CloseRange,,,,,8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smash,-1259884575,,Attack with your paw to deal damage and to knock an enemy back. Can be used to destroy massive resource objects such as massive rocks. Attack level affected by equipped weapon,Melee,,Other,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Snapshot,477749225,,"Fire a quick bolt that deals %75 physical damage, interrupts attacks, inflicts Marked and inflicts a 1.5s fading snare. The bolt splits into two upon hit.",Secondary,,Other,Projectile,Aimed,,,,,8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sommelier Flurry,-1537007486,,,,,,,,,,,,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul of the Wolf,-1739260908,,Turn into a swift creature increasing your movement speed by %60. Taking damage breaks the effect.,,Shapeshift,Shapeshift,,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soulburn,2138402840,,"Drain the life from up to {max} nearby enemies dealing {damage} magic damage, leeching {healthfactor} health, interrupting attacks and inflicting Condemn.",Offensive,Unholy,Unholy; Offensive,Heal,Summon,Tier2,,,,9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Guardian,1650878435,,Summon a Spectral Guardian that shields allies in an area for {smallabsorb} of your spell power and inflicts Weaken on nearby enemies. The guardian attacks enemies with a mighty swing dealing {golemdamage} magic damage. The shield is reapplied every {tickduration}s and the guardian lasts for {duration}s.,Ultimate,Illusion,Illusion; Ultimate,AoE; Summon,Summon,Tier3,,,,120,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Leap,-781549505,,"Turn into a spectral wolf, leap and gain a short burst of speed. Can be used to leap through most types of solid objects.",Movement,,Other,Movement,Movement,,,,,8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Strike,641943079,,,,,Other,,,,,,,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Strike,-1978007923,,,,,Other,,,,,,,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Strike,-290102537,,,Movement,,Other,Movement,Movement,,,,,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Wolf,247896794,,"Send out a Spectral wolf that bounces to a nearby enemy after each hit, up to {count} additonal hits. Deals {damage} magic damage on the first hit, subsequent hits deal {damagereduction} damage of the previous hit. Each hit inflicts Weaken and grants a stack of Phantasm.",Offensive,Illusion,Illusion; Offensive,Heal; Projectile,Aimed,Tier1,,,,8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Forest Back Step,858891748,,,,,,,,,,,,30,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Form,180580857,,Turn into a creepy spider that is able to burrow into the ground to hide from enemies and to avoid the burning sun.,,Shapeshift,Shapeshift,,,,,,,8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Melee Back Step,792257682,,,,,,,,,,,,30,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Range Back Step,-1072715636,,,,,,,,,,,,12,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand,1234809194,,,,,Other,,,,,,,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand,-1385465144,,,,,Other,,,,,,,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stomp,1216522353,,Perform a mighty stomp dealing {damage} siege damage in an area and knocking enemies back. Can be used to break walls & structures.,,,Other,,CloseRange,,,,,10,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Golem Awake,-793376955,,,,,,,,,,,,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Eye Of The Storm Recast,-1355723507,,,,Storm,Other,,CloseRange,,,,,150,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Lightning Tendrils,-1184139778,,Launch {count} Lightning Bolts in a sequence that deals {damage} magic damage each and inflicts Static.,SpellSlot1,Storm,Projectile,Projectile,,Tier2,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stygian Bear Form,-631049507,,Turn into a powerful creature able to destroy massive resources. Increases your resistances by {resistance} and reduces damage taken by {damageabsorb}. You regenerate health slightly quicker while in this form.,,Shapeshift,Shapeshift,,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stygian Wolf Form,1798913199,,Turn into a swift creature increasing your movement speed by %60. Taking damage breaks the effect.,,Shapeshift,Shapeshift,,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subdue Mount,965421878,,Channelling spell used to turn a horse into an eternal companion. A companion can be recalled to your location and can be resurrected. You may only have one active companion at a time.,Heal,,Other,Heal; Projectile,Aimed,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summon Fallen Angel,1297311521,,Summons a fallen angel to fight for you for {duration}s. Attacks performed by the fallen angel inflict Condemn.,Ultimate,Unholy,Unholy; Ultimate,AoE; Summon,Summon,,,,,120,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrender,-1064533554,,Express your unwillingness to fight.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Swing,-27840697,,Perform a mighty swing dealing {damage} siege damage. Can be used to break walls & structures.,Melee,,Other,Melee,CloseRange,,,,,0.8,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Tailor On Aggro,-630967346,,,,,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tailor Shapeshift,1637511208,,,Heal,,Heal,Heal,CloseRange,,,,,1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPLOIT (blocked),tester v0.100: NOT-USABLE/EXPLOIT
Tainted Heart,-1888981494,,"Refined into Blood Essence by using a Blood Press. Can also be consumed to gain a small amount of blood, alters your blood type to frailed.",Heal,,Other,Heal,,,,,,0.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taunt,-158502505,,Aggrevate your enemies.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Teleport,1088859718,,,Movement,,Other,Movement,Movement,,,,,1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teleport,1550864188,,,Movement,,Other,Movement,Movement,,,,,1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teleport,98022305,,,Movement,,Other,Movement,Movement,,,,,1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tendon Swing,-345652149,,"Swing your reaper dealing %125 physical damage to nearby enemies, knocking them back and inflicting a 2.5s fading snare.",Secondary,,Other,Heal,CloseRange,,,,,8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank You,-133703992,,Express your gratitude.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Toad Form,-499389517,,Turn into a toad able to jump high into the air. Taking damage breaks the effect.,Movement,Shapeshift,Shapeshift,Movement,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toad Leap,-1428039996,,Leap high into the air.,Movement,,Other,Movement,Movement,,,,,8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel to the Shadow Realm,33571279,,,Movement,,Other,Movement,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treant Corrupted Fall Asleep,1957509060,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,,,,,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),STUCK: toggle-lock until Wake Up (Treant/Golem/Bear Fall Asleep) - tester v0.100
Treant Corrupted Melee Attack,680554094,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Treant Corrupted Projectile,-891864538,,,Projectile,,Projectile,Projectile,,,,,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treant Corrupted Wake Up,-1858935493,,,,,,,,,,,,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treant Mantrap Corrupted Spit,-802865471,,,AoE,,AoE,AoE,Aimed,,,,,2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treant Wake Up,-573678829,,,,,,,,,,,,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trippy Shroom,-1072457678,,Might make you feel trippy. Not recommended to eat.,,,Other,,,,,,,0.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unburrow,1704026958,,Unburrow from the ground.,,,Other,,,,,,,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Arena Champion Corpse Buff,-485230865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),"CHARACTER-BREAK: locks in place, aggro off (Gaius Undead Arena Champion Corpse Buff) - tester v0.100"
Unholy Chains Of Death,-1845982676,,Launch a chain that shackles the target hit reducing movement speed by {speedfactor} - {speedfactor2} based on distance to the target. Channel the spell for up to {duration}s. Deals {damage} magic damage and inflicts Condemn when the effect ends. The bond breaks and inflicts a {slowduration}s fading snare if the distance between yourself and the target exceeds {distance} meters.,SpellSlot1,Unholy,Projectile,Projectile,Summon,Tier2,,,,9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unholy Unstable Arachnid Recast,1351498027,,,,Unholy,Other,,Summon,,,,,120,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsullied Heart,1959283631,,"Refined into Greater Blood Essence by using a Blood Press. Can also be consumed to gain a small amount of blood, alters your blood type to frailed.",Heal,,Other,Heal,,,,,,0.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Blood Knight Dash,401668748,,,Movement,Blood,Other,Movement,CloseRange,,,,,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Blood Knight Spear Twirl,1730729556,,,,Blood,,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Claws Primary Melee Attack,1180130515,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Vampire Claws Primary Melee Attack Unholy,2094399595,,,Melee,Unholy,Melee,Melee,Summon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Claws Primary Mounted,-2092012453,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Claws Skewering Leap,-621324159,,,Secondary,,AoE; Movement,AoE; Movement,Aimed,,,,,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Claws Skewering Leap Unholy,1957381608,,,Secondary,Unholy,Movement,Movement,Aimed,,,,,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Claws Vault Slash,-496335760,,Vault towards the cursor and cleave enemies dealing {damage} physical damage and inflicting Puncture.,Secondary,,Melee,Melee,CloseRange,,,,,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Claws Vault Slash Unholy,-1217790595,,,Secondary,Unholy,Melee,Melee,Summon,,,,,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Cliff Leap Travel,-999342671,,,Movement,,Other,Movement,Movement,,,,,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Crimson Iron Maiden Expunge,444781406,,,Movement,,Other,Movement,,,,,,2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Daggers Call Daggers,1398187000,,"Inflict a {duration}s fading snare and release all nearby daggers that are stuck in the ground. Released daggers return to you, piercing enemies and dealing {damage} physical damage. Each dagger that returns grants one dagger stack and reduces the cooldown of Rain of Daggers by {cooldownreduction}s.",Secondary,,,,CloseRange,,,,,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Daggers Primary,1239800293,,,AoE,,AoE; Projectile,AoE; Projectile,Summon,,,,,0.55,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Daggers Primary Mounted,873699859,,,Projectile,,Projectile,Projectile,Aimed,,,,,0.55,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Daggers Rain Of Daggers,149514079,,"Leap into the air and throw {amount} daggers in front of you, each dagger dealing {damage} physical damage and inflicting a {snareduration}s fading snare. Daggers remain on the ground for {duration}s.",Secondary,,AoE; Movement,AoE; Movement,,,,,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Dual Hammers Primary Melee Attack,367876187,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Vampire Dual Hammers Storm Mace,-1612983976,,"Throw a hammer dealing damage and slowing an enemy. Grants frenzy on hit or consumes frenzy to deal additional damage and hit all enemies in a cone behind the target, knocking them back. Knocking an enemy into a wall incapacitates them.",Secondary,Storm,Projectile,Projectile,Aimed,,,,,6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Great Sword Mounted,174655882,,,,,Other,,CloseRange,,,,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
